"COUNTRY","Country","AGE_GROUP","TRAFFIC_PARTICIPATION","Year","Unit","Value"
"AUS","Australia","0-14Y","CARS",2000,"Persons",65
"AUS","Australia","15-24Y","CARS",2000,"Persons",375
"AUS","Australia","25-64Y","CARS",2000,"Persons",664
"AUS","Australia","65MORE","CARS",2000,"Persons",198
"AUS","Australia","0-14Y","CARS",2001,"Persons",48
"AUS","Australia","15-24Y","CARS",2001,"Persons",352
"AUS","Australia","25-64Y","CARS",2001,"Persons",589
"AUS","Australia","65MORE","CARS",2001,"Persons",194
"AUS","Australia","0-14Y","CARS",2002,"Persons",51
"AUS","Australia","15-24Y","CARS",2002,"Persons",355
"AUS","Australia","25-64Y","CARS",2002,"Persons",617
"AUS","Australia","65MORE","CARS",2002,"Persons",184
"AUS","Australia","0-14Y","CARS",2003,"Persons",75
"AUS","Australia","15-24Y","CARS",2003,"Persons",348
"AUS","Australia","25-64Y","CARS",2003,"Persons",557
"AUS","Australia","65MORE","CARS",2003,"Persons",184
"AUS","Australia","65MORE","CARS",2004,"Persons",178
"AUS","Australia","0-14Y","CARS",2005,"Persons",55
"AUS","Australia","15-24Y","CARS",2005,"Persons",310
"AUS","Australia","25-64Y","CARS",2005,"Persons",582
"AUS","Australia","65MORE","CARS",2005,"Persons",173
"AUS","Australia","0-14Y","CARS",2006,"Persons",48
"AUS","Australia","15-24Y","CARS",2006,"Persons",353
"AUS","Australia","25-64Y","CARS",2006,"Persons",543
"AUS","Australia","65MORE","CARS",2006,"Persons",149
"AUS","Australia","0-14Y","CARS",2007,"Persons",49
"AUS","Australia","15-24Y","CARS",2007,"Persons",290
"AUS","Australia","25-64Y","CARS",2007,"Persons",594
"AUS","Australia","65MORE","CARS",2007,"Persons",187
"AUS","Australia","0-14Y","CARS",2008,"Persons",34
"AUS","Australia","15-24Y","CARS",2008,"Persons",227
"AUS","Australia","25-64Y","CARS",2008,"Persons",377
"AUS","Australia","65MORE","CARS",2008,"Persons",132
"AUS","Australia","0-14Y","CARS",2009,"Persons",48
"AUS","Australia","15-24Y","CARS",2009,"Persons",239
"AUS","Australia","25-64Y","CARS",2009,"Persons",382
"AUS","Australia","65MORE","CARS",2009,"Persons",124
"AUS","Australia","0-14Y","CARS",2010,"Persons",38
"AUS","Australia","15-24Y","CARS",2010,"Persons",207
"AUS","Australia","25-64Y","CARS",2010,"Persons",340
"AUS","Australia","65MORE","CARS",2010,"Persons",136
"AUS","Australia","0-14Y","CARS",2011,"Persons",39
"AUS","Australia","15-24Y","CARS",2011,"Persons",188
"AUS","Australia","25-64Y","CARS",2011,"Persons",327
"AUS","Australia","65MORE","CARS",2011,"Persons",125
"AUS","Australia","0-14Y","CARS",2012,"Persons",25
"AUS","Australia","15-24Y","CARS",2012,"Persons",164
"AUS","Australia","25-64Y","CARS",2012,"Persons",330
"AUS","Australia","65MORE","CARS",2012,"Persons",150
"AUS","Australia","0-14Y","CARS",2013,"Persons",28
"AUS","Australia","15-24Y","CARS",2013,"Persons",131
"AUS","Australia","25-64Y","CARS",2013,"Persons",280
"AUS","Australia","65MORE","CARS",2013,"Persons",151
"AUS","Australia","0-14Y","CARS",2014,"Persons",33
"AUS","Australia","15-24Y","CARS",2014,"Persons",119
"AUS","Australia","25-64Y","CARS",2014,"Persons",273
"AUS","Australia","65MORE","CARS",2014,"Persons",140
"AUS","Australia","0-14Y","CARS",2015,"Persons",27
"AUS","Australia","15-24Y","CARS",2015,"Persons",140
"AUS","Australia","25-64Y","CARS",2015,"Persons",299
"AUS","Australia","65MORE","CARS",2015,"Persons",143
"AUS","Australia","0-14Y","CARS",2016,"Persons",24
"AUS","Australia","15-24Y","CARS",2016,"Persons",133
"AUS","Australia","25-64Y","CARS",2016,"Persons",308
"AUS","Australia","65MORE","CARS",2016,"Persons",139
"AUS","Australia","0-14Y","CARS",2017,"Persons",16
"AUS","Australia","15-24Y","CARS",2017,"Persons",129
"AUS","Australia","25-64Y","CARS",2017,"Persons",281
"AUS","Australia","65MORE","CARS",2017,"Persons",155
"AUS","Australia","0-14Y","CARS",2018,"Persons",18
"AUS","Australia","15-24Y","CARS",2018,"Persons",134
"AUS","Australia","25-64Y","CARS",2018,"Persons",258
"AUS","Australia","65MORE","CARS",2018,"Persons",121
"AUS","Australia","0-14Y","CARS",2019,"Persons",24
"AUS","Australia","15-24Y","CARS",2019,"Persons",114
"AUS","Australia","25-64Y","CARS",2019,"Persons",268
"AUS","Australia","65MORE","CARS",2019,"Persons",143
"AUS","Australia","0-14Y","CARS",2020,"Persons",21
"AUS","Australia","15-24Y","CARS",2020,"Persons",114
"AUS","Australia","25-64Y","CARS",2020,"Persons",263
"AUS","Australia","65MORE","CARS",2020,"Persons",127
"AUT","Austria","0-14Y","CARS",1990,"Persons",28
"AUT","Austria","15-24Y","CARS",1990,"Persons",319
"AUT","Austria","25-64Y","CARS",1990,"Persons",475
"AUT","Austria","65MORE","CARS",1990,"Persons",87
"AUT","Austria","0-14Y","CARS",1991,"Persons",36
"AUT","Austria","15-24Y","CARS",1991,"Persons",317
"AUT","Austria","25-64Y","CARS",1991,"Persons",461
"AUT","Austria","65MORE","CARS",1991,"Persons",96
"AUT","Austria","0-14Y","CARS",1992,"Persons",19
"AUT","Austria","15-24Y","CARS",1992,"Persons",285
"AUT","Austria","25-64Y","CARS",1992,"Persons",473
"AUT","Austria","65MORE","CARS",1992,"Persons",76
"AUT","Austria","0-14Y","CARS",1993,"Persons",21
"AUT","Austria","15-24Y","CARS",1993,"Persons",260
"AUT","Austria","25-64Y","CARS",1993,"Persons",385
"AUT","Austria","65MORE","CARS",1993,"Persons",80
"AUT","Austria","0-14Y","CARS",1994,"Persons",23
"AUT","Austria","15-24Y","CARS",1994,"Persons",286
"AUT","Austria","25-64Y","CARS",1994,"Persons",415
"AUT","Austria","65MORE","CARS",1994,"Persons",83
"AUT","Austria","0-14Y","CARS",1995,"Persons",24
"AUT","Austria","15-24Y","CARS",1995,"Persons",218
"AUT","Austria","25-64Y","CARS",1995,"Persons",400
"AUT","Austria","65MORE","CARS",1995,"Persons",66
"AUT","Austria","0-14Y","CARS",1996,"Persons",20
"AUT","Austria","15-24Y","CARS",1996,"Persons",204
"AUT","Austria","25-64Y","CARS",1996,"Persons",334
"AUT","Austria","65MORE","CARS",1996,"Persons",67
"AUT","Austria","0-14Y","CARS",1997,"Persons",17
"AUT","Austria","15-24Y","CARS",1997,"Persons",235
"AUT","Austria","25-64Y","CARS",1997,"Persons",341
"AUT","Austria","65MORE","CARS",1997,"Persons",74
"AUT","Austria","0-14Y","CARS",1998,"Persons",22
"AUT","Austria","15-24Y","CARS",1998,"Persons",157
"AUT","Austria","25-64Y","CARS",1998,"Persons",313
"AUT","Austria","65MORE","CARS",1998,"Persons",73
"AUT","Austria","0-14Y","CARS",1999,"Persons",21
"AUT","Austria","15-24Y","CARS",1999,"Persons",188
"AUT","Austria","25-64Y","CARS",1999,"Persons",312
"AUT","Austria","65MORE","CARS",1999,"Persons",93
"AUT","Austria","0-14Y","CARS",2000,"Persons",10
"AUT","Austria","15-24Y","CARS",2000,"Persons",172
"AUT","Austria","25-64Y","CARS",2000,"Persons",299
"AUT","Austria","65MORE","CARS",2000,"Persons",68
"AUT","Austria","0-14Y","CARS",2001,"Persons",19
"AUT","Austria","15-24Y","CARS",2001,"Persons",172
"AUT","Austria","25-64Y","CARS",2001,"Persons",300
"AUT","Austria","65MORE","CARS",2001,"Persons",79
"AUT","Austria","0-14Y","CARS",2002,"Persons",14
"AUT","Austria","15-24Y","CARS",2002,"Persons",156
"AUT","Austria","25-64Y","CARS",2002,"Persons",281
"AUT","Austria","65MORE","CARS",2002,"Persons",73
"AUT","Austria","0-14Y","CARS",2003,"Persons",20
"AUT","Austria","15-24Y","CARS",2003,"Persons",161
"AUT","Austria","25-64Y","CARS",2003,"Persons",263
"AUT","Austria","65MORE","CARS",2003,"Persons",80
"AUT","Austria","0-14Y","CARS",2004,"Persons",8
"AUT","Austria","15-24Y","CARS",2004,"Persons",148
"AUT","Austria","25-64Y","CARS",2004,"Persons",256
"AUT","Austria","65MORE","CARS",2004,"Persons",68
"AUT","Austria","0-14Y","CARS",2005,"Persons",11
"AUT","Austria","15-24Y","CARS",2005,"Persons",115
"AUT","Austria","25-64Y","CARS",2005,"Persons",236
"AUT","Austria","65MORE","CARS",2005,"Persons",70
"AUT","Austria","0-14Y","CARS",2006,"Persons",14
"AUT","Austria","15-24Y","CARS",2006,"Persons",107
"AUT","Austria","25-64Y","CARS",2006,"Persons",204
"AUT","Austria","65MORE","CARS",2006,"Persons",59
"AUT","Austria","0-14Y","CARS",2007,"Persons",7
"AUT","Austria","15-24Y","CARS",2007,"Persons",119
"AUT","Austria","25-64Y","CARS",2007,"Persons",194
"AUT","Austria","65MORE","CARS",2007,"Persons",58
"AUT","Austria","0-14Y","CARS",2008,"Persons",7
"AUT","Austria","15-24Y","CARS",2008,"Persons",113
"AUT","Austria","25-64Y","CARS",2008,"Persons",176
"AUT","Austria","65MORE","CARS",2008,"Persons",71
"AUT","Austria","0-14Y","CARS",2009,"Persons",6
"AUT","Austria","15-24Y","CARS",2009,"Persons",78
"AUT","Austria","25-64Y","CARS",2009,"Persons",175
"AUT","Austria","65MORE","CARS",2009,"Persons",69
"AUT","Austria","0-14Y","CARS",2010,"Persons",4
"AUT","Austria","15-24Y","CARS",2010,"Persons",97
"AUT","Austria","25-64Y","CARS",2010,"Persons",134
"AUT","Austria","65MORE","CARS",2010,"Persons",57
"AUT","Austria","0-14Y","CARS",2011,"Persons",7
"AUT","Austria","15-24Y","CARS",2011,"Persons",69
"AUT","Austria","25-64Y","CARS",2011,"Persons",141
"AUT","Austria","65MORE","CARS",2011,"Persons",73
"AUT","Austria","0-14Y","CARS",2012,"Persons",2
"AUT","Austria","15-24Y","CARS",2012,"Persons",74
"AUT","Austria","25-64Y","CARS",2012,"Persons",139
"AUT","Austria","65MORE","CARS",2012,"Persons",64
"AUT","Austria","0-14Y","CARS",2013,"Persons",4
"AUT","Austria","15-24Y","CARS",2013,"Persons",39
"AUT","Austria","25-64Y","CARS",2013,"Persons",101
"AUT","Austria","65MORE","CARS",2013,"Persons",49
"AUT","Austria","0-14Y","CARS",2014,"Persons",3
"AUT","Austria","15-24Y","CARS",2014,"Persons",43
"AUT","Austria","25-64Y","CARS",2014,"Persons",100
"AUT","Austria","65MORE","CARS",2014,"Persons",43
"AUT","Austria","0-14Y","CARS",2015,"Persons",5
"AUT","Austria","15-24Y","CARS",2015,"Persons",52
"AUT","Austria","25-64Y","CARS",2015,"Persons",119
"AUT","Austria","65MORE","CARS",2015,"Persons",62
"AUT","Austria","0-14Y","CARS",2016,"Persons",3
"AUT","Austria","15-24Y","CARS",2016,"Persons",45
"AUT","Austria","25-64Y","CARS",2016,"Persons",89
"AUT","Austria","65MORE","CARS",2016,"Persons",52
"AUT","Austria","0-14Y","CARS",2017,"Persons",4
"AUT","Austria","15-24Y","CARS",2017,"Persons",41
"AUT","Austria","25-64Y","CARS",2017,"Persons",102
"AUT","Austria","65MORE","CARS",2017,"Persons",35
"AUT","Austria","0-14Y","CARS",2018,"Persons",3
"AUT","Austria","15-24Y","CARS",2018,"Persons",24
"AUT","Austria","25-64Y","CARS",2018,"Persons",105
"AUT","Austria","65MORE","CARS",2018,"Persons",49
"AUT","Austria","0-14Y","CARS",2019,"Persons",3
